anchor,replication,origin_index,fixed_point_indicator,basin_fraction,d_hat_at_r_true,ARI_at_r_true,r0_released,end_to_end_success,released_stop_state,released_terminal_r,released_n_iter
S2,2,0,1,0.4444444444444444,2.0,0.3602988953866147,6,0,wrong_fixed_point,6.0,1.0
S2,2,124,1,0.3333333333333333,2.0,0.3349638035609469,6,0,wrong_fixed_point,6.0,1.0
S2,2,249,1,0.4444444444444444,2.0,0.427278906427007,6,0,wrong_fixed_point,6.0,1.0
S2,2,374,1,0.3333333333333333,2.0,0.5745039893834887,6,0,wrong_fixed_point,6.0,1.0
S2,2,498,1,0.3333333333333333,2.0,0.463148090655076,6,0,wrong_fixed_point,6.0,1.0
S2,3,0,0,0.0,2.0,0.1309401206414594,7,0,wrong_fixed_point,7.0,1.0
S2,3,124,0,0.0,2.0,0.1425098000297722,7,0,wrong_fixed_point,7.0,1.0
S2,3,249,0,0.0,2.0,0.2821336864714717,7,0,wrong_fixed_point,7.0,1.0
S2,3,374,0,0.0,2.0,0.2963362239802146,7,0,wrong_fixed_point,7.0,1.0
S2,3,498,0,0.0,2.0,0.3023553469760052,7,0,wrong_fixed_point,7.0,1.0
S2,4,0,1,0.3333333333333333,2.0,0.5394582962997614,6,0,wrong_fixed_point,6.0,1.0
S2,4,124,1,0.2222222222222222,2.0,0.5482070174874113,6,0,wrong_fixed_point,6.0,1.0
S2,4,249,1,0.3333333333333333,2.0,0.49411989673965,6,0,wrong_fixed_point,6.0,1.0
S2,4,374,1,0.2222222222222222,2.0,0.4588942811537655,6,0,wrong_fixed_point,7.0,2.0
S2,4,498,1,0.2222222222222222,2.0,0.5147552905243254,7,0,wrong_fixed_point,7.0,1.0
S2,5,0,0,0.0,2.0,0.1029377203290246,7,0,wrong_fixed_point,7.0,1.0
S2,5,124,0,0.0,2.0,0.0607386220240599,7,0,wrong_fixed_point,7.0,1.0
S2,5,249,0,0.0,2.0,0.1291554467564259,7,0,wrong_fixed_point,7.0,1.0
S2,5,374,0,0.0,2.0,0.0937580770224864,7,0,wrong_fixed_point,7.0,1.0
S2,5,498,0,0.0,2.0,0.2987192305861067,7,0,wrong_fixed_point,7.0,1.0
S2,6,0,1,0.2222222222222222,2.0,0.4859006424402923,6,0,wrong_fixed_point,6.0,1.0
S2,6,124,1,0.2222222222222222,2.0,0.5234710968267621,6,0,wrong_fixed_point,6.0,1.0
S2,6,249,1,0.2222222222222222,2.0,0.5171217378186755,6,0,wrong_fixed_point,6.0,1.0
S2,6,374,1,0.2222222222222222,2.0,0.5234710968267621,6,0,wrong_fixed_point,6.0,1.0
S2,6,498,1,0.2222222222222222,2.0,0.5397996837111229,6,0,wrong_fixed_point,6.0,1.0
S2,7,0,1,0.3333333333333333,2.0,0.5463898946540623,6,0,wrong_fixed_point,6.0,1.0
S2,7,124,1,0.4444444444444444,2.0,0.7229554072626716,6,0,wrong_fixed_point,6.0,1.0
S2,7,249,1,0.4444444444444444,2.0,0.4871840197984797,6,0,wrong_fixed_point,6.0,1.0
S2,7,374,1,0.3333333333333333,2.0,0.8438,6,0,wrong_fixed_point,6.0,1.0
S2,7,498,1,0.4444444444444444,2.0,0.8165729271470749,6,0,wrong_fixed_point,6.0,1.0
S2,8,0,1,0.3333333333333333,2.0,0.4800532778896758,6,0,wrong_fixed_point,6.0,1.0
S2,8,124,1,0.4444444444444444,2.0,0.3322705254767306,6,0,wrong_fixed_point,6.0,1.0
S2,8,249,1,0.3333333333333333,2.0,0.3936504863766152,6,0,wrong_fixed_point,6.0,1.0
S2,8,374,1,0.3333333333333333,2.0,0.4542059398897385,6,0,wrong_fixed_point,6.0,1.0
S2,8,498,1,0.3333333333333333,2.0,0.3718583486584618,6,0,wrong_fixed_point,6.0,1.0
S2,9,0,0,0.0,2.0,0.1523388417921842,7,0,wrong_fixed_point,7.0,1.0
S2,9,124,0,0.0,2.0,0.0054536518857903,7,0,wrong_fixed_point,7.0,1.0
S2,9,249,1,0.2222222222222222,2.0,0.535420178184445,7,0,wrong_fixed_point,7.0,1.0
S2,9,374,1,0.2222222222222222,2.0,0.6196196683040708,7,0,wrong_fixed_point,7.0,1.0
S2,9,498,0,0.0,2.0,0.2271031777795565,7,0,wrong_fixed_point,7.0,1.0
S2,10,0,1,0.2222222222222222,2.0,0.4898700708851725,7,0,wrong_fixed_point,7.0,1.0
S2,10,124,1,0.4444444444444444,2.0,0.5174449812130971,7,0,wrong_fixed_point,7.0,1.0
S2,10,249,1,0.2222222222222222,2.0,0.4810722521137586,7,0,wrong_fixed_point,7.0,1.0
S2,10,374,1,0.2222222222222222,2.0,0.4943414046343489,7,0,wrong_fixed_point,7.0,1.0
S2,10,498,1,0.2222222222222222,2.0,0.404335873065745,7,0,wrong_fixed_point,7.0,1.0
S2,11,0,1,0.4444444444444444,2.0,0.5671974059913856,6,0,wrong_fixed_point,6.0,1.0
S2,11,124,1,0.3333333333333333,2.0,0.6033322504292941,6,0,wrong_fixed_point,6.0,1.0
S2,11,249,1,0.2222222222222222,2.0,0.5184884953544927,6,0,wrong_fixed_point,6.0,1.0
S2,11,374,1,0.2222222222222222,2.0,0.474523855543496,6,0,wrong_fixed_point,6.0,1.0
S2,11,498,1,0.2222222222222222,2.0,0.639896673345366,6,0,wrong_fixed_point,6.0,1.0
S2,12,0,1,0.4444444444444444,2.0,0.3243505705268269,6,0,wrong_fixed_point,6.0,1.0
S2,12,124,1,0.4444444444444444,2.0,0.4209968697327233,6,0,wrong_fixed_point,6.0,1.0
S2,12,249,1,0.4444444444444444,2.0,0.3674287879744837,6,0,wrong_fixed_point,6.0,1.0
S2,12,374,1,0.4444444444444444,2.0,0.324402814788811,6,0,wrong_fixed_point,6.0,1.0
