experiment,structural_seed,T,residual_type,r_used,r_selected,branch,status,d_hat,d_embed,K_gmm,ARI,MP_edge,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8
paired_T_true_residual,2951145736,500,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,2.0944271909999155,5.329727535221515,3.8281353789072226,1.880868059347278,1.8634082888259105,1.8035705029509341,1.7918133646669683,1.6979511109320697,1.6930060004685963
paired_T_true_residual,2951145736,1000,true,,,oracle,ok,2,4,4,0.7693435651791387,1.732455532033676,5.315400923935531,4.15500783385133,1.5940066766382102,1.5535618970296314,1.545010283574824,1.497713557133696,1.4920283959915903,1.4628843025843536
paired_T_true_residual,2951145736,1000,true,,,mp_fixed_k,ok,2,2,4,0.7390725428632485,1.732455532033676,5.315400923935531,4.15500783385133,1.5940066766382102,1.5535618970296314,1.545010283574824,1.497713557133696,1.4920283959915903,1.4628843025843536
paired_T_true_residual,2951145736,1000,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,1.732455532033676,5.315400923935531,4.15500783385133,1.5940066766382102,1.5535618970296314,1.545010283574824,1.497713557133696,1.4920283959915903,1.4628843025843536
paired_T_true_residual,2951145736,1500,true,,,oracle,ok,2,4,4,0.7860615883306321,1.5830644461609886,4.917499773769421,3.923315957627373,1.5161796461709327,1.4662797335295508,1.4278950406610968,1.4067017514298679,1.399998360095047,1.3793818581602613
paired_T_true_residual,2951145736,1500,true,,,mp_fixed_k,ok,2,2,4,0.7029698665081965,1.5830644461609886,4.917499773769421,3.923315957627373,1.5161796461709327,1.4662797335295508,1.4278950406610968,1.4067017514298679,1.399998360095047,1.3793818581602613
paired_T_true_residual,2951145736,1500,true,,,full_pipeline,ok,2,2,2,0.32653061224489793,1.5830644461609886,4.917499773769421,3.923315957627373,1.5161796461709327,1.4662797335295508,1.4278950406610968,1.4067017514298679,1.399998360095047,1.3793818581602613
paired_T_true_residual,2951145736,3000,true,,,oracle,ok,3,4,4,0.9472597722581074,1.3984817050034442,4.914591794535021,3.938355622072708,1.4246581219529575,1.3233877300563204,1.293720987216232,1.2724351650274464,1.2671787934227519,1.242245111147032
paired_T_true_residual,2951145736,3000,true,,,mp_fixed_k,ok,3,3,4,0.92264724951374,1.3984817050034442,4.914591794535021,3.938355622072708,1.4246581219529575,1.3233877300563204,1.293720987216232,1.2724351650274464,1.2671787934227519,1.242245111147032
paired_T_true_residual,2951145736,3000,true,,,full_pipeline,ok,3,3,3,0.7079646017699115,1.3984817050034442,4.914591794535021,3.938355622072708,1.4246581219529575,1.3233877300563204,1.293720987216232,1.2724351650274464,1.2671787934227519,1.242245111147032
manual_r_sweep,2951145736,1500,estimated,3,,oracle,ok,4,4,4,0.038946817121363615,1.5830644461609886,18.575013288170403,10.58604823248754,3.481396299373873,2.7516956546613462,1.304427317618266,1.2609733369229115,1.2327392301227111,1.1947969109855978
manual_r_sweep,2951145736,1500,estimated,3,,mp_fixed_k,ok,4,4,4,0.038946817121363615,1.5830644461609886,18.575013288170403,10.58604823248754,3.481396299373873,2.7516956546613462,1.304427317618266,1.2609733369229115,1.2327392301227111,1.1947969109855978
manual_r_sweep,2951145736,1500,estimated,3,,full_pipeline,ok,4,4,4,0.038946817121363615,1.5830644461609886,18.575013288170403,10.58604823248754,3.481396299373873,2.7516956546613462,1.304427317618266,1.2609733369229115,1.2327392301227111,1.1947969109855978
manual_r_sweep,2951145736,1500,estimated,5,,oracle,ok,3,4,4,0.5558237978702295,1.5830644461609886,4.776909651608148,3.8601008315128396,1.5842322875284915,1.5347541132932412,1.492839888149659,1.4737487710490407,1.4601823112427335,1.441801354052354
manual_r_sweep,2951145736,1500,estimated,5,,mp_fixed_k,ok,3,3,4,0.5197415649676956,1.5830644461609886,4.776909651608148,3.8601008315128396,1.5842322875284915,1.5347541132932412,1.492839888149659,1.4737487710490407,1.4601823112427335,1.441801354052354
