replication,branch,epsilon,n_in_set,r_min,r_max,r_values,MSPE_eval_min,MSPE_eval_max,MSPE_eval_range,ARI_eval_min,ARI_eval_max,ARI_eval_range,r_true_in_set,structure_oracle_in_set
7,robustness_K_equals_d_hat,0.005,5,4,9,4|5|7|8|9,1.8877525551072685,1.9020948853111723,0.014342330203903852,0.0027110471621080256,0.3160992582739431,0.31338821111183507,1,1
8,robustness_K_equals_d_hat,0.005,4,5,9,5|7|8|9,1.899455055952135,1.9177128086357602,0.018257752683625172,0.011625372067778651,0.3077213313228842,0.29609595925510557,1,1
9,robustness_K_equals_d_hat,0.005,2,7,9,7|9,1.912569424998636,1.9162460705311943,0.003676645532558309,0.0019733377415929055,0.020365751814410214,0.01839241407281731,0,0
10,robustness_K_equals_d_hat,0.005,2,4,5,4|5,1.954452019151318,1.9671574406806318,0.012705421529313865,0.287840076564211,0.3336396309830746,0.045799554418863575,1,1
11,robustness_K_equals_d_hat,0.005,5,4,9,4|5|7|8|9,1.9522856961230348,1.9622403002140436,0.00995460409100879,0.004003496989188828,0.33225694621353674,0.3282534492243479,1,1
12,robustness_K_equals_d_hat,0.005,3,4,9,4|5|9,1.8907255466344668,1.8965758355196172,0.005850288885150379,-0.004395974482410921,0.29405253687345434,0.29844851135586525,1,1
13,robustness_K_equals_d_hat,0.005,3,4,8,4|7|8,1.9526179734943356,1.9717233938642347,0.01910542036989904,-0.0005548352854391368,0.47418467358914196,0.4747395088745811,0,1
14,robustness_K_equals_d_hat,0.005,1,5,5,5,1.932562885709487,1.932562885709487,0.0,0.3180301554964522,0.3180301554964522,0.0,1,1
15,robustness_K_equals_d_hat,0.005,3,4,8,4|7|8,1.9409157634635785,1.9458485447428664,0.004932781279287868,0.0007226586132121297,0.4123974901207621,0.41167483150754997,0,1
16,robustness_K_equals_d_hat,0.005,1,4,4,4,1.8977555372029409,1.8977555372029409,0.0,0.34097971738884314,0.34097971738884314,0.0,0,1
