world_index,branch,T_window,n_paths,mean_d_hat,sd_d_hat,Pr_dhat_ge_1,Pr_dhat_ge_2,Pr_dhat_ge_3,Pr_dhat_ge_4,Pr_dhat_ge_5,Pr_dhat_ge_6
6,var_stationary_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_stationary_start,3000,50,2.18,0.38808793449160356,1.0,1.0,0.18,0.0,0.0,0.0
6,var_zero_start,200,50,1.98,0.14142135623730936,1.0,0.98,0.0,0.0,0.0,0.0
6,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_zero_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,var_zero_start,3000,50,2.18,0.38808793449160356,1.0,1.0,0.18,0.0,0.0,0.0
7,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,iid_marginal,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,iid_marginal,3000,50,2.2,0.40406101782088427,1.0,1.0,0.2,0.0,0.0,0.0
7,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
7,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
7,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
7,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
7,released_replay_validation,3000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
7,var_burnin_500,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_burnin_500,1500,50,2.04,0.19794866372215747,1.0,1.0,0.04,0.0,0.0,0.0
7,var_burnin_500,3000,50,2.34,0.4785181206984066,1.0,1.0,0.34,0.0,0.0,0.0
7,var_stationary_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_stationary_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_stationary_start,3000,50,2.32,0.4712120714991613,1.0,1.0,0.32,0.0,0.0,0.0
7,var_zero_start,200,50,1.98,0.14142135623730936,1.0,0.98,0.0,0.0,0.0,0.0
7,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_zero_start,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,var_zero_start,3000,50,2.32,0.4712120714991613,1.0,1.0,0.32,0.0,0.0,0.0
8,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,iid_marginal,1500,50,2.02,0.14142135623730942,1.0,1.0,0.02,0.0,0.0,0.0
8,iid_marginal,3000,50,2.5,0.5050762722761054,1.0,1.0,0.5,0.0,0.0,0.0
8,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
8,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
8,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
8,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
8,released_replay_validation,3000,1,3.0,,1.0,1.0,1.0,0.0,0.0,0.0
8,var_burnin_500,200,50,1.98,0.1414213562373094,1.0,0.98,0.0,0.0,0.0,0.0
8,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_burnin_500,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_burnin_500,1500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_burnin_500,3000,50,2.52,0.5046720495044485,1.0,1.0,0.52,0.0,0.0,0.0
8,var_stationary_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_stationary_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_stationary_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_stationary_start,1500,50,2.04,0.19794866372215744,1.0,1.0,0.04,0.0,0.0,0.0
8,var_stationary_start,3000,50,2.52,0.5436085025840129,1.0,1.0,0.5,0.02,0.0,0.0
8,var_zero_start,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_zero_start,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_zero_start,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,var_zero_start,1500,50,2.04,0.19794866372215744,1.0,1.0,0.04,0.0,0.0,0.0
8,var_zero_start,3000,50,2.52,0.5436085025840129,1.0,1.0,0.5,0.02,0.0,0.0
9,iid_marginal,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,iid_marginal,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,iid_marginal,1000,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,iid_marginal,1500,50,2.06,0.23989793748209526,1.0,1.0,0.06,0.0,0.0,0.0
9,iid_marginal,3000,50,2.8,0.40406101782088427,1.0,1.0,0.8,0.0,0.0,0.0
9,released_replay_validation,200,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
9,released_replay_validation,500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
9,released_replay_validation,1000,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
9,released_replay_validation,1500,1,2.0,,1.0,1.0,0.0,0.0,0.0,0.0
9,released_replay_validation,3000,1,3.0,,1.0,1.0,1.0,0.0,0.0,0.0
9,var_burnin_500,200,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,var_burnin_500,500,50,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,var_burnin_500,1000,50,2.02,0.14142135623730945,1.0,1.0,0.02,0.0,0.0,0.0
9,var_burnin_500,1500,50,2.06,0.23989793748209529,1.0,1.0,0.06,0.0,0.0,0.0
9,var_burnin_500,3000,50,2.6,0.49487165930539356,1.0,1.0,0.6,0.0,0.0,0.0
9,var_stationary_start,200,50,1.98,0.14142135623730942,1.0,0.98,0.0,0.0,0.0,0.0
