T_window,mp_edge,d_hat,corr_finite,corr_symmetric,leading_eigenvalues,lambda_1_minus_edge,indicator_dhat_ge_1,lambda_2_minus_edge,indicator_dhat_ge_2,lambda_3_minus_edge,indicator_dhat_ge_3,lambda_4_minus_edge,indicator_dhat_ge_4,lambda_5_minus_edge,indicator_dhat_ge_5,lambda_6_minus_edge,indicator_dhat_ge_6,run_id,world_index,structural_seed,branch,path
1000,1.732455532033676,2,True,True,"[6.897432533508786, 4.72732616921398, 1.6020247011748672, 1.557374482834485, 1.5123934975798043, 1.493845314481427, 1.4528757451752263, 1.43502393950033]",5.16497700147511,1,2.994870637180304,1,-0.1304308308588089,0,-0.17508104919919099,0,-0.22006203445387174,0,-0.2386102175522491,0,formal_20260818,0,3674827978,iid_marginal,10.0
1500,1.5830644461609886,2,True,True,"[6.768817634666253, 4.451499755074741, 1.4768244663816985, 1.4602170065145252, 1.407536908620901, 1.3656507626516534, 1.3487865677279496, 1.3417466101938091]",5.185753188505265,1,2.868435308913752,1,-0.10623997977929012,0,-0.12284743964646339,0,-0.17552753754008754,0,-0.2174136835093352,0,formal_20260818,0,3674827978,iid_marginal,10.0
3000,1.3984817050034442,2,True,True,"[6.460498159998247, 4.490003243909645, 1.3926067231328618, 1.3388327262118238, 1.289113750056135, 1.2610109965574832, 1.2476909200334925, 1.224468317464952]",5.062016454994803,1,3.0915215389062007,1,-0.00587498187058233,0,-0.059648978791620344,0,-0.10936795494730922,0,-0.137470708445961,0,formal_20260818,0,3674827978,iid_marginal,10.0
200,2.914213562373095,2,True,True,"[6.619373770835764, 4.782842233371223, 2.5807804408119615, 2.488849498109302, 2.4494049244749214, 2.2288111467761675, 2.1318842833628295, 2.1191819230143136]",3.7051602084626687,1,1.8686286709981283,1,-0.33343312156113347,0,-0.42536406426379303,0,-0.4648086378981735,0,-0.6854024155969274,0,formal_20260818,0,3674827978,iid_marginal,11.0
500,2.0944271909999155,2,True,True,"[6.336096323772569, 4.187800469991237, 1.9711300689604467, 1.8642263356593425, 1.8363794615726172, 1.773963315843693, 1.6767799394476812, 1.6639555701722764]",4.241669132772653,1,2.0933732789913218,1,-0.12329712203946874,0,-0.230200855340573,0,-0.25804772942729826,0,-0.32046387515622254,0,formal_20260818,0,3674827978,iid_marginal,11.0
1000,1.732455532033676,2,True,True,"[6.116398299020476, 4.217091907505789, 1.6335242122252511, 1.5481288814742658, 1.5356743618143243, 1.4811145501588823, 1.4584520906529772, 1.4496318505285108]",4.3839427669868005,1,2.4846363754721126,1,-0.09893131980842496,0,-0.18432665055941033,0,-0.19678117021935182,0,-0.2513409818747938,0,formal_20260818,0,3674827978,iid_marginal,11.0
1500,1.5830644461609886,2,True,True,"[6.1006714690969925, 4.3474882351893935, 1.561153639473494, 1.4764352079974066, 1.3999716469398986, 1.3791998106384784, 1.3620517777560572, 1.3396045535308791]",4.517607022936004,1,2.764423789028405,1,-0.021910806687494677,0,-0.10662923816358205,0,-0.18309279922109,0,-0.20386463552251022,0,formal_20260818,0,3674827978,iid_marginal,11.0
3000,1.3984817050034442,3,True,True,"[6.165228609155682, 4.357431101118955, 1.4598739206698106, 1.3899134681093606, 1.2619979727712851, 1.2456134024056325, 1.2402580210017464, 1.228015057356025]",4.766746904152238,1,2.9589493961155107,1,0.061392215666366434,1,-0.008568236894083592,0,-0.13648373223215904,0,-0.1528683025978117,0,formal_20260818,0,3674827978,iid_marginal,11.0
200,2.914213562373095,2,True,True,"[6.703508119604568, 5.0288909743571475, 2.4881349683285583, 2.3669808369421848, 2.3030648523502535, 2.2271671552150116, 2.2196782448453867, 2.144117584945419]",3.7892945572314733,1,2.1146774119840526,1,-0.42607859404453663,0,-0.5472327254309102,0,-0.6111487100228414,0,-0.6870464071580833,0,formal_20260818,0,3674827978,iid_marginal,12.0
500,2.0944271909999155,2,True,True,"[6.402386992741627, 4.3353250598242035, 1.952087876716465, 1.869658674955983, 1.8210852700205185, 1.7236395214694458, 1.6760553948102876, 1.6359332685176569]",4.307959801741712,1,2.240897868824288,1,-0.14233931428345037,0,-0.22476851604393255,0,-0.273341920979397,0,-0.3707876695304697,0,formal_20260818,0,3674827978,iid_marginal,12.0
