r_used,metric,n_replications_planned,n_replications_valid,coverage_fraction,mean,sd,mcse,ci95_low,ci95_high,n_replications_any_valid_origin,series
3.0,UMP_Q_F_excess_purity,20,20,1.0,0.4404630434150242,0.0013875138405151383,0.0003102575267113651,0.43981366694855606,0.4411124198814923,20,cell
3.0,UMP_Q_F_expected_random_capture,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
3.0,UMP_Q_F_expected_random_purity,20,20,1.0,0.05000000000000001,0.0,0.0,0.05000000000000001,0.05000000000000001,20,cell
3.0,UMP_Q_F_largest_canonical_correlation,20,20,1.0,0.9923308477957292,0.0016582360219410993,0.00037079284677991306,0.9915547694482163,0.9931069261432421,20,cell
3.0,UMP_Q_F_purity,20,20,1.0,0.4904630434150243,0.0013875138405151422,0.00031025752671136596,0.48981366694855616,0.4911124198814924,20,cell
3.0,UMP_Q_F_shared_energy,20,20,1.0,1.9618521736600976,0.005550055362060553,0.0012410301068454604,1.959254667794225,1.96444967952597,20,cell
3.0,UMP_Q_F_smallest_principal_angle,20,20,1.0,0.1223406968780757,0.013571819900094028,0.0030347511874994648,0.11598888964349527,0.12869250411265612,20,cell
3.0,UMP_Q_F_unique_capture,20,20,1.0,0.3955434068701914,0.006906367266122157,0.0015443106684628523,0.39231112749361935,0.39877568624676346,20,cell
3.0,UMP_Q_F_unique_dim_Q,20,20,1.0,5.0,0.0,0.0,5.0,5.0,20,cell
3.0,UMP_Q_F_unique_dim_U,20,20,1.0,4.0,0.0,0.0,4.0,4.0,20,cell
3.0,UMP_Q_F_unique_excess_capture,20,20,1.0,0.3555434068701915,0.006906367266122145,0.0015443106684628497,0.3523111274936194,0.35877568624676354,20,cell
3.0,UMP_Q_F_unique_excess_purity,20,20,1.0,0.44442925858773935,0.008632959082652701,0.0019303883355785666,0.4403889093670243,0.4484696078084544,20,cell
3.0,UMP_Q_F_unique_expected_random_capture,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
3.0,UMP_Q_F_unique_expected_random_purity,20,20,1.0,0.05000000000000001,0.0,0.0,0.05000000000000001,0.05000000000000001,20,cell
3.0,UMP_Q_F_unique_largest_canonical_correlation,20,20,1.0,0.9866070358660439,0.003371551272812773,0.0007539017835635299,0.9850291012983842,0.9881849704337037,20,cell
3.0,UMP_Q_F_unique_purity,20,20,1.0,0.49442925858773934,0.00863295908265269,0.0019303883355785637,0.4903889093670243,0.4984696078084544,20,cell
3.0,UMP_Q_F_unique_shared_energy,20,20,1.0,1.9777170343509574,0.034531836330610764,0.007721553342314257,1.9615556374680971,1.9938784312338176,20,cell
3.0,UMP_Q_F_unique_smallest_principal_angle,20,20,1.0,0.161753484262654,0.020715023855042473,0.004632020149540472,0.15205855466916204,0.17144841385614598,20,cell
3.0,UMP_Q_P4_capture,20,20,1.0,0.463438345959967,0.018121066086342466,0.0040519935593827825,0.4549574259718715,0.47191926594806255,20,cell
3.0,UMP_Q_P4_dim_Q,20,20,1.0,4.0,0.0,0.0,4.0,4.0,20,cell
3.0,UMP_Q_P4_dim_U,20,20,1.0,4.0,0.0,0.0,4.0,4.0,20,cell
3.0,UMP_Q_P4_excess_capture,20,20,1.0,0.4234383459599669,0.01812106608634245,0.004051993559382779,0.41495742597187135,0.4319192659480624,20,cell
3.0,UMP_Q_P4_excess_purity,20,20,1.0,0.4234383459599669,0.01812106608634245,0.004051993559382779,0.41495742597187135,0.4319192659480624,20,cell
3.0,UMP_Q_P4_expected_random_capture,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
3.0,UMP_Q_P4_expected_random_purity,20,20,1.0,0.04000000000000001,7.119154932824459e-18,1.5918914372148438e-18,0.04000000000000001,0.04000000000000001,20,cell
