contrast,r_a,r_b,metric,n_paired,mean_delta,sd_delta,mcse_delta,t_stat,p_value,ci95_low,ci95_high,deltas_by_replication
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_shared_energy,20,-1.3854544651073157,0.06902607441891798,0.015434699462065988,-89.76232213088183,0.0,-1.417759662353982,-1.3531492678606494,0:-1.415233869;1:-1.351660169;2:-1.298774937;3:-1.361282363;4:-1.474148361;5:-1.474389185;6:-1.383406256;7:-1.322022259;8:-1.299947641;9:-1.414896838;10:-1.432811612;11:-1.284496047;12:-1.355149272;13:-1.441560105;14:-1.31480844;15:-1.491726818;16:-1.362485638;17:-1.507759555;18:-1.399840813;19:-1.322689126
H-over: r=7 minus r=5,7,5,U4_Q_C_unique_smallest_principal_angle,20,0.8571518551243089,0.11470393103904553,0.025648578708975387,33.419078103706376,0.0,0.8034687629250398,0.9108349473235781,0:0.701281785;1:0.9905186441;2:0.8778997044;3:0.5680577113;4:0.7933735018;5:0.7920170321;6:1.034915007;7:0.8603108888;8:0.9053269497;9:0.8303718359;10:0.7824141333;11:0.8889818928;12:1.016749002;13:0.8553755798;14:0.7668049936;15:0.9614585255;16:0.8118608409;17:0.7814289811;18:0.967971738;19:0.9559183559
H-over: r=7 minus r=5,7,5,U4_Q_F_capture,20,-0.0027110174692161117,0.002737927435964416,0.0006122191864278136,-4.428181163407178,0.0002886217349780118,-0.003992406952979782,-0.0014296279854524412,0:-0.002275083344;1:-0.0005376767988;2:-0.001209897192;3:-0.01188256573;4:-0.003818277619;5:-0.001713455344;6:-0.001688451067;7:-0.001292299205;8:-0.003971473968;9:-0.001492338754;10:-0.003960507002;11:-0.001193461309;12:-0.001619939258;13:-0.007280064156;14:-0.0004484749528;15:-0.00458677048;16:-0.001270312726;17:-0.001792886033;18:-0.001279604288;19:-0.000906810161
H-over: r=7 minus r=5,7,5,U4_Q_F_dim_Q,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_F_dim_U,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_F_excess_capture,20,-0.0027110174692161204,0.002737927435964413,0.000612219186427813,-4.428181163407197,0.0002886217349780118,-0.003992406952979789,-0.0014296279854524511,0:-0.002275083344;1:-0.0005376767988;2:-0.001209897192;3:-0.01188256573;4:-0.003818277619;5:-0.001713455344;6:-0.001688451067;7:-0.001292299205;8:-0.003971473968;9:-0.001492338754;10:-0.003960507002;11:-0.001193461309;12:-0.001619939258;13:-0.007280064156;14:-0.0004484749528;15:-0.00458677048;16:-0.001270312726;17:-0.001792886033;18:-0.001279604288;19:-0.000906810161
H-over: r=7 minus r=5,7,5,U4_Q_F_excess_purity,20,-0.0033887718365201496,0.0034224092949555166,0.0007652739830347662,-4.428181163407196,0.0002886217349780118,-0.004990508691224737,-0.001787034981815563,0:-0.00284385418;1:-0.0006720959985;2:-0.001512371491;3:-0.01485320716;4:-0.004772847023;5:-0.002141819179;6:-0.002110563834;7:-0.001615374006;8:-0.00496434246;9:-0.001865423442;10:-0.004950633752;11:-0.001491826636;12:-0.002024924073;13:-0.009100080195;14:-0.000560593691;15:-0.0057334631;16:-0.001587890908;17:-0.002241107541;18:-0.00159950536;19:-0.001133512701
H-over: r=7 minus r=5,7,5,U4_Q_F_expected_random_capture,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_F_expected_random_purity,20,0.0,0.0,0.0,,,0.0,0.0,0:0;1:0;2:0;3:0;4:0;5:0;6:0;7:0;8:0;9:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0
H-over: r=7 minus r=5,7,5,U4_Q_F_largest_canonical_correlation,20,-0.0792553811399637,0.044041229229759206,0.00984791823703923,-8.047932490125119,1.5334842795589054e-07,-0.09986731089593262,-0.05864345138399477,0:-0.08309361459;1:-0.03002871431;2:-0.04989046507;3:-0.1982519512;4:-0.1100500753;5:-0.06815890029;6:-0.07299231892;7:-0.05461323737;8:-0.1213090999;9:-0.05953864449;10:-0.1065428241;11:-0.04757541422;12:-0.06182166795;13:-0.1635758784;14:-0.02614761263;15:-0.1099576708;16:-0.05748189342;17:-0.06901626332;18:-0.04792431721;19:-0.04713705931
