dgp,K_branch,variant,baing_branch,r0,n_worlds,P_reach_r_true,sd,mcse,ci_low,ci_high,mean_n_iter
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,2,17,0.0,0.0,0.0,0.0,0.0,2.7294117647058824
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,3,17,0.0,0.0,0.0,0.0,0.0,2.7411764705882353
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,4,17,0.0,0.0,0.0,0.0,0.0,2.7176470588235295
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,5,17,0.0,0.0,0.0,0.0,0.0,2.1882352941176473
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,6,17,0.0,0.0,0.0,0.0,0.0,1.7411764705882353
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,7,17,0.0,0.0,0.0,0.0,0.0,1.0588235294117647
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,8,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,primary_fixed_K,B_absolute,zero_fixed,9,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,primary_fixed_K,C_criterion,released,1,17,0.011764705882352941,0.04850712500726659,0.01176470588235294,-0.013175356461423659,0.036704768226129544,2.0470588235294116
weak_sbm,primary_fixed_K,C_criterion,released,2,17,0.0,0.0,0.0,0.0,0.0,2.0470588235294116
weak_sbm,primary_fixed_K,C_criterion,released,3,17,0.011764705882352941,0.04850712500726659,0.01176470588235294,-0.013175356461423659,0.036704768226129544,2.0470588235294116
weak_sbm,primary_fixed_K,C_criterion,released,4,17,0.03529411764705882,0.14552137502179976,0.035294117647058816,-0.03952606938427097,0.11011430467838862,2.0470588235294116
weak_sbm,primary_fixed_K,C_criterion,released,5,17,0.03529411764705882,0.14552137502179976,0.035294117647058816,-0.03952606938427097,0.11011430467838862,1.964705882352941
weak_sbm,primary_fixed_K,C_criterion,released,6,17,0.0,0.0,0.0,0.0,0.0,1.788235294117647
weak_sbm,primary_fixed_K,C_criterion,released,7,17,0.0,0.0,0.0,0.0,0.0,1.0470588235294118
weak_sbm,primary_fixed_K,C_criterion,released,8,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,primary_fixed_K,C_criterion,released,9,17,0.0,0.0,0.0,0.0,0.0,2.011764705882353
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,1,17,0.011764705882352941,0.04850712500726659,0.01176470588235294,-0.013175356461423659,0.036704768226129544,2.0470588235294116
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,2,17,0.0,0.0,0.0,0.0,0.0,2.0470588235294116
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,3,17,0.011764705882352941,0.04850712500726659,0.01176470588235294,-0.013175356461423659,0.036704768226129544,2.0470588235294116
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,4,17,0.03529411764705882,0.14552137502179976,0.035294117647058816,-0.03952606938427097,0.11011430467838862,2.0470588235294116
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,5,17,0.03529411764705882,0.14552137502179976,0.035294117647058816,-0.03952606938427097,0.11011430467838862,1.964705882352941
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,6,17,0.0,0.0,0.0,0.0,0.0,1.788235294117647
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,7,17,0.0,0.0,0.0,0.0,0.0,1.0470588235294118
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,8,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,primary_fixed_K,C_criterion,zero_fixed,9,17,0.0,0.0,0.0,0.0,0.0,2.011764705882353
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,1,17,0.0,0.0,0.0,0.0,0.0,5.0
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,2,17,0.0,0.0,0.0,0.0,0.0,4.988235294117647
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,3,17,0.0,0.0,0.0,0.0,0.0,5.0
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,4,17,0.0,0.0,0.0,0.0,0.0,4.976470588235294
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,5,17,0.0,0.0,0.0,0.0,0.0,4.376470588235294
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,6,17,0.0,0.0,0.0,0.0,0.0,4.0
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,7,17,0.0,0.0,0.0,0.0,0.0,3.0
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,8,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,robustness_K_equals_d_hat,A_incremental,released,9,17,0.0,0.0,0.0,0.0,0.0,1.0
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,1,17,0.0,0.0,0.0,0.0,0.0,2.823529411764706
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,2,17,0.0,0.0,0.0,0.0,0.0,2.8117647058823527
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,3,17,0.0,0.0,0.0,0.0,0.0,2.823529411764706
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,4,17,0.0,0.0,0.0,0.0,0.0,2.8000000000000003
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,5,17,0.0,0.0,0.0,0.0,0.0,2.1999999999999997
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,6,17,0.0,0.0,0.0,0.0,0.0,1.8235294117647058
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,7,17,0.0,0.0,0.0,0.0,0.0,1.0
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,8,17,0.0,0.0,0.0,0.0,0.0,1.0
weak_sbm,robustness_K_equals_d_hat,A_incremental,zero_fixed,9,17,0.0,0.0,0.0,0.0,0.0,1.0
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,1,17,0.0,0.0,0.0,0.0,0.0,2.7294117647058824
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,2,17,0.0,0.0,0.0,0.0,0.0,2.7176470588235295
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,3,17,0.0,0.0,0.0,0.0,0.0,2.7294117647058824
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,4,17,0.0,0.0,0.0,0.0,0.0,2.7176470588235295
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,5,17,0.0,0.0,0.0,0.0,0.0,2.188235294117647
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,6,17,0.0,0.0,0.0,0.0,0.0,1.7294117647058822
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,7,17,0.0,0.0,0.0,0.0,0.0,1.0588235294117647
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,8,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,robustness_K_equals_d_hat,B_absolute,released,9,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,1,17,0.0,0.0,0.0,0.0,0.0,2.7294117647058824
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,2,17,0.0,0.0,0.0,0.0,0.0,2.7176470588235295
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,3,17,0.0,0.0,0.0,0.0,0.0,2.7294117647058824
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,4,17,0.0,0.0,0.0,0.0,0.0,2.7176470588235295
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,5,17,0.0,0.0,0.0,0.0,0.0,2.188235294117647
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,6,17,0.0,0.0,0.0,0.0,0.0,1.7294117647058822
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,7,17,0.0,0.0,0.0,0.0,0.0,1.0588235294117647
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,8,17,0.0,0.0,0.0,0.0,0.0,2.0
weak_sbm,robustness_K_equals_d_hat,B_absolute,zero_fixed,9,17,0.0,0.0,0.0,0.0,0.0,2.0
